"Time Bucket,Number of Events"
"2021-03-01T00:00:00Z,2516"
"2021-03-01T01:00:00Z,675"
"2021-03-01T02:00:00Z,202"
"2021-03-01T03:00:00Z,1545"
"2021-03-01T04:00:00Z,454"
"2021-03-01T05:00:00Z,1150"
"2021-03-01T06:00:00Z,2076"
"2021-03-01T07:00:00Z,4159"
"2021-03-01T08:00:00Z,3360"
"2021-03-01T09:00:00Z,4750"
"2021-03-01T10:00:00Z,3586"
"2021-03-01T11:00:00Z,5169"
"2021-03-01T12:00:00Z,3187"
"2021-03-01T13:00:00Z,3779"
"2021-03-01T14:00:00Z,3547"
"2021-03-01T15:00:00Z,5357"
"2021-03-01T16:00:00Z,3242"
"2021-03-01T20:00:00Z,2061"
"2021-03-01T17:00:00Z,2315"
"2021-03-01T18:00:00Z,3004"
"2021-03-01T19:00:00Z,1602"
"2021-03-01T21:00:00Z,2141"
"2021-03-01T22:00:00Z,1984"
"2021-03-01T23:00:00Z,1011"
"2021-03-02T00:00:00Z,1383"
"2021-03-02T01:00:00Z,1585"
"2021-03-02T02:00:00Z,670"
"2021-03-02T03:00:00Z,1510"
"2021-03-02T04:00:00Z,1434"
"2021-03-02T05:00:00Z,917"
"2021-03-02T06:00:00Z,1773"
"2021-03-02T07:00:00Z,6031"
"2021-03-02T08:00:00Z,3897"
"2021-03-02T09:00:00Z,5226"
"2021-03-02T10:00:00Z,3187"
"2021-03-02T11:00:00Z,5821"
"2021-03-02T12:00:00Z,3205"
"2021-03-02T13:00:00Z,3363"
"2021-03-02T14:00:00Z,2807"
"2021-03-02T15:00:00Z,7342"
"2021-03-02T16:00:00Z,4022"
"2021-03-02T17:00:00Z,1076"
"2021-03-02T18:00:00Z,598"
"2021-03-02T19:00:00Z,772"
"2021-03-02T20:00:00Z,559"
"2021-03-02T21:00:00Z,334"
"2021-03-02T22:00:00Z,1143"
"2021-03-02T23:00:00Z,201"
"2021-03-03T00:00:00Z,303"
"2021-03-03T01:00:00Z,159"
"2021-03-03T02:00:00Z,135"
"2021-03-03T03:00:00Z,436"
"2021-03-03T04:00:00Z,297"
"2021-03-03T05:00:00Z,623"
"2021-03-03T06:00:00Z,565"
"2021-03-03T07:00:00Z,1659"
"2021-03-03T08:00:00Z,1980"
"2021-03-03T09:00:00Z,1706"
"2021-03-03T10:00:00Z,1238"
"2021-03-03T11:00:00Z,1512"
"2021-03-03T12:00:00Z,2097"
"2021-03-03T13:00:00Z,1164"
"2021-03-03T14:00:00Z,1427"
"2021-03-03T15:00:00Z,1166"
"2021-03-03T17:00:00Z,699"
"2021-03-03T16:00:00Z,1088"
"2021-03-03T18:00:00Z,1585"
"2021-03-03T19:00:00Z,1166"
"2021-03-03T20:00:00Z,1292"
"2021-03-03T21:00:00Z,1710"
"2021-03-03T22:00:00Z,1071"
"2021-03-03T23:00:00Z,564"
